X,GENE,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GENEID,GENEBIOTYPE
6588,LINC-PINT,166.074488280978,0.190905425837051,0.0730433520971152,2.61359070135817,0.00895962986687644,0.0487977491574812,ENSG00000231721,antisense
5969,ZSCAN16-AS1,75.8390465156832,0.261185820236827,0.0988851797082011,2.6413039952757,0.00825875787110771,0.0458902366201326,ENSG00000269293,antisense
1253,MALAT1,15030.4261050635,0.279007576679409,0.0507979742545115,5.49249415501307,3.96296671466491e-8,8.25766491274841e-7,ENSG00000251562,lincRNA
2114,PSMA3-AS1,65.0922069925735,0.329193422244693,0.104314081607677,3.1557908306453,0.00160063602393294,0.0122029989984939,ENSG00000257621,antisense
5594,NNT-AS1,158.89562359337,0.345557736970457,0.0766096863218797,4.51062722693547,6.46362204212555e-6,9.05326997401535e-5,ENSG00000248092,antisense
3877,AC007246.3,49.837789707343,0.355807428420622,0.112870536433698,3.15234993704161,0.00161962046122638,0.0123224046988485,ENSG00000231312,antisense
5440,SNHG8,68.9112665258386,0.416211110847513,0.10816679017896,3.84786411946678,1.1915210588133e-4,0.00127542614924633,ENSG00000269893,lincRNA
3123,SNHG25,87.1285828249617,0.427804335770021,0.0901326125223623,4.74638783674312,2.07081471058608e-6,3.25451345828973e-5,ENSG00000266402,lincRNA
761,RP11-554I8.2,25.6853598468482,0.475117618828304,0.146869888378003,3.23495594689554,0.00121661500275802,0.00972505397678773,ENSG00000223784,lincRNA
1633,RP11-977G19.11,18.1979928974817,0.483892483266285,0.173685397947786,2.78602858377164,0.00533581663865095,0.0324773373630388,ENSG00000257303,antisense
4606,FLJ41941,17.1413552782577,0.568410978598933,0.179755160432897,3.16213997545358,0.00156614262649549,0.0119769546426222,ENSG00000235295,lincRNA
5232,LINC00969,82.13411924119,0.571527349637866,0.0939491906677555,6.08336639811013,1.17684987068782e-9,3.01030080715939e-8,ENSG00000242086,lincRNA
1403,RP11-158I9.8,15.1401040524916,0.644871730514875,0.181512719379598,3.55276331443337,3.81207287314619e-4,0.00358402491419499,ENSG00000278376,lincRNA
2540,SNHG19,23.4163388878249,0.722011314923251,0.163551687945415,4.41457574662402,1.01208275023775e-5,1.37502378045122e-4,ENSG00000260260,lincRNA
2466,RP11-648K4.2,33.1660833913791,1.10993757841739,0.159798309340171,6.94586559144755,3.76146768895417e-12,1.2456503266367e-10,ENSG00000259560,lincRNA
1774,LINC01405,226.819922330631,4.69831302458032,0.229840611300839,20.4416138557458,7.13407120063633e-93,2.30089305070958e-90,ENSG00000185847,lincRNA
