"","GENE","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GENEID","GENEBIOTYPE"
"1","NOC2L",57.5797417050034,0.106345488825485,0.121382162576266,0.876121223813811,0.380964135909708,0.620960154362118,"ENSG00000188976","protein_coding"
"2","PERM1",50.5102236245125,0.309197462650945,0.113251671313047,2.73018012949471,0.00632997283083521,0.037266459094552,"ENSG00000187642","protein_coding"
"3","C1orf159",17.6966788130901,-0.354166221321244,0.177090069323725,-1.99992141102966,0.0455087507522376,0.16129188393698,"ENSG00000131591","protein_coding"
"4","SDF4",20.5909161317051,-0.0512623124775544,0.162910298720724,-0.314665879812994,0.753015353118236,0.879567307205305,"ENSG00000078808","protein_coding"
"5","UBE2J2",16.3966037701702,0.000682719683183665,0.189471322164996,0.00360328769220884,0.997124998603608,0.99844819547698,"ENSG00000160087","protein_coding"
"6","ACAP3",23.0073005133724,0.119081117485625,0.147754816074552,0.805937299705623,0.420279002900019,0.657758125364457,"ENSG00000131584","protein_coding"
"7","CPSF3L",30.8894683279881,0.0773362998397414,0.13363518473896,0.578712110817283,0.56278344281675,0.762299265404699,"ENSG00000127054","protein_coding"
"8","CPTP",43.9107431035533,0.481401058394555,0.121311440482682,3.96830716442838,7.23849960892618e-05,0.000822284687580619,"ENSG00000224051","protein_coding"
"9","DVL1",103.058120338228,-0.0153174849801605,0.0836317264585119,-0.18315399703914,0.854677188758807,0.935930821702514,"ENSG00000107404","protein_coding"
"10","AURKAIP1",189.108196479383,0.0585328958297162,0.0759786571211203,0.770386027439347,0.441070939292266,0.675586253906675,"ENSG00000175756","protein_coding"
"11","CCNL2",39.3722249038675,-0.0251684587524829,0.121701453113469,-0.206804915706446,0.836162216964581,0.925492588099561,"ENSG00000221978","protein_coding"
"12","MRPL20",107.32149393146,-0.0493656699411756,0.0848477583271722,-0.581814663279872,0.560691526110836,0.760807017629823,"ENSG00000242485","protein_coding"
"13","SSU72",134.378538831394,-0.062368705126006,0.079730226644997,-0.782246680467948,0.434069615592272,0.668896243189929,"ENSG00000160075","protein_coding"
"14","TMEM52",201.871885731561,-0.512209000102991,0.0849288331923422,-6.03103776244009,1.62910110882947e-09,4.04169632953078e-08,"ENSG00000178821","protein_coding"
"15","MIB2",64.6023935840614,0.124286465247907,0.100622365706984,1.23517733234213,0.216764513543245,0.443086018590187,"ENSG00000197530","protein_coding"
"16","CDK11B",22.1865968567955,0.151009158601645,0.154968258011255,0.974452191304089,0.329832066156424,0.571106884596666,"ENSG00000248333","protein_coding"
"17","GNB1",32.3633764668079,0.177482537866303,0.132380524895999,1.34069975931684,0.180017952745607,0.396841953481996,"ENSG00000078369","protein_coding"
"18","FAAP20",22.2527864165387,0.369363804008612,0.153988881353086,2.39863943917928,0.016456109671981,0.077162719056103,"ENSG00000162585","protein_coding"
"19","SKI",23.9549245106006,-0.00404661429501445,0.143405510845436,-0.0282179831943554,0.977488294419963,0.990457429124126,"ENSG00000157933","protein_coding"
"20","RER1",36.5647255810539,-0.0769753593689557,0.125740648057622,-0.612175621471911,0.540421569065102,0.747657698031589,"ENSG00000157916","protein_coding"
