ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,foldEnrich
BP,GO:0006911,"phagocytosis, engulfment",7/237,22/6414,9.129084737019222e-6,0.010360390604594564,0.009993641596376278,MSR1/RHOH/ELMO1/ARHGAP25/GULP1/TIMD4/PLCG2,7,8.611047180667434
BP,GO:0050919,negative chemotaxis,6/237,16/6414,1.4014634371988516e-5,0.010360390604594564,0.009993641596376278,ROBO2/NRG1/SLIT3/NRG3/PLXNA4/FLRT2,6,10.14873417721519
BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,10/237,55/6414,2.653851304735797e-5,0.010360390604594564,0.009993641596376278,NLGN1/ROBO2/GPC6/PCDH9/SDK1/ADGRL3/TENM2/CDH19/PCDH7/CDHR3,10,4.920598388952819
BP,GO:0007155,cell adhesion,36/237,480/6414,2.8609608935500964e-5,0.010360390604594564,0.009993641596376278,NLGN1/DLG2/ROBO2/GPC6/LRRC7/MAGI1/PCDH9/PLXNA4/FMN1/APBB1IP/RUNX1/NRXN3/SDK1/ADGRL3/TENM2/FRMD5/BCR/LSAMP/RHOH/NRXN1/CBLB/PRKCE/CDH19/PCDH7/FNDC3A/IL4R/SKAP1/CD96/ARID2/PELI1/ITGBL1/CD28/CDHR3/FLRT2/PAWR/PDE3B,36,2.029746835443038
BP,GO:0097120,receptor localization to synapse,7/237,26/6414,3.101821745495802e-5,0.010360390604594564,0.009993641596376278,NLGN1/DLG2/GPC6/LRRC7/GRIP1/GPHN/ANKS1B,7,7.286270691333983
BP,GO:0099024,plasma membrane invagination,7/237,26/6414,3.101821745495802e-5,0.010360390604594564,0.009993641596376278,MSR1/RHOH/ELMO1/ARHGAP25/GULP1/TIMD4/PLCG2,7,7.286270691333983
BP,GO:0007416,synapse assembly,10/237,56/6414,3.1274624211631866e-5,0.010360390604594564,0.009993641596376278,NLGN1/ROBO2/GPC6/NRG1/SDK1/ADGRL3/ADGRB3/ERBB4/NRXN1/FLRT2,10,4.8327305605786615
BP,GO:0098609,cell-cell adhesion,25/237,282/6414,3.7131664945250914e-5,0.010360390604594564,0.009993641596376278,NLGN1/DLG2/ROBO2/GPC6/LRRC7/MAGI1/PCDH9/RUNX1/NRXN3/SDK1/ADGRL3/TENM2/RHOH/NRXN1/CBLB/CDH19/PCDH7/FNDC3A/IL4R/SKAP1/ARID2/PELI1/CD28/CDHR3/PAWR,25,2.3992279378759314
BP,GO:0002429,immune response-activating cell surface receptor signaling pathway,12/237,82/6414,4.086939094514621e-5,0.010360390604594564,0.009993641596376278,CD247/FOXP1/BANK1/NFATC2/CBLB/PRKCE/SKAP1/CD28/PDE4B/PLCG2/PAWR/COLEC10,12,3.9604816301327572
BP,GO:0002757,immune response-activating signal transduction,12/237,82/6414,4.086939094514621e-5,0.010360390604594564,0.009993641596376278,CD247/FOXP1/BANK1/NFATC2/CBLB/PRKCE/SKAP1/CD28/PDE4B/PLCG2/PAWR/COLEC10,12,3.9604816301327572
BP,GO:0006909,phagocytosis,11/237,76/6414,9.5116862179399315e-05,0.020093437135398105,0.019382146565153035,MSR1/BCR/RHOH/ELMO1/PRKCE/ARHGAP25/GULP1/TIMD4/PLCG2/COLEC10/TLR4,11,3.9170552964690213
CC,GO:0031226,intrinsic component of plasma membrane,36/244,345/6603,9.66234009780474e-9,2.676468207091913e-6,2.308790739159659e-6,KCNIP4/NLGN1/GPC6/NRG1/PCDH9/GRIA4/NRG3/PLXNA4/MSR1/NRXN3/ADGRL3/ADGRB3/EPHA6/TENM2/ERBB4/GRIA1/KLRF2/NRXN1/ROR1/PCDH7/TRPM1/SLC6A20/IL4R/SLC16A7/DPP10/CD96/GPHN/ITGBL1/CACNA1C/CD28/ATP8B1/P2RX1/SCN1A/FLRT2/TLR4/ABCG8,36,2.823806129722024
CC,GO:0043235,receptor complex,16/244,110/6603,2.30766243689431e-6,1.5980562375493099e-4,1.3785246662500222e-4,NLGN1/GRIA4/PLXNA4/APBB1IP/CD247/EPHA6/ERBB4/GRIA1/ROR1/PPARG/IL4R/SKAP1/ITGBL1/KCTD16/TLR4/ABCG8,16,3.9362146050670646
CC,GO:0097060,synaptic membrane,16/244,110/6603,2.30766243689431e-6,1.5980562375493099e-4,1.3785246662500222e-4,NLGN1/RIMS2/DLG2/GRIA4/TENM2/ERBB4/GRIA1/NRXN1/GRIP1/SLC4A8/DGKI/GPHN/CACNA1C/P2RX1/KCTD16/UNC13A,16,3.9362146050670646
CC,GO:0032279,asymmetric synapse,16/244,142/6603,6.223050580119477e-5,0.00344757002138619,0.0029739631193413086,NLGN1/DLG2/PLEKHA5/LRRC7/ARHGAP32/ERBB4/GRIA1/BCR/GRIP1/SLC4A8/DGKI/GPHN/CACNA1C/PDE4B/ANKS1B/USP8,16,3.0491803278688523
CC,GO:0043197,dendritic spine,11/244,77/6603,1.0790128755032864e-4,0.0037420663544689425,0.003228003277463234,NLGN1/GRIA4/ARHGAP32/TENM2/GRIA1/BCR/DOCK10/DGKI/PDE4B/ANKS1B/USP8,11,3.8659250585480094
CC,GO:0044309,neuron spine,11/244,78/6603,1.2158338335819669e-4,0.0037420663544689425,0.003228003277463234,NLGN1/GRIA4/ARHGAP32/TENM2/GRIA1/BCR/DOCK10/DGKI/PDE4B/ANKS1B/USP8,11,3.816361916771753
