ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,foldEnrich
BP,GO:0003012,muscle system process,46/317,230/6414,7.230061390289918e-17,2.1704644293650332e-13,1.9163467979736855e-13,MYH2/MYH1/ATP2A1/ACTN3/TNNI2/TNNC2/TPM1/TNNT3/ALDOA/LMOD1/PGAM2/MYL1/HOMER1/TMOD1/PRKAG3/FOXO1/ASPH/MYOM2/CALM1/KCNJ12/IGFBP5/PPP3CA/TPM2/SLN/GDNF/CD38/SCN4A/CASQ1/JSRP1/CALM2/RCSD1/BIN1/CACNB1/CACNA1S/GAMT/MYOZ1/GATM/FGF13/NOS1/MYOD1/CHRND/NR4A1/CACNG1/SNTB1/ANK2/NEDD4L,46,4.046687697160884
BP,GO:0005975,carbohydrate metabolic process,41/317,258/6414,1.2537679938822169e-11,1.2546038392114716e-8,1.1077150205597972e-8,ACTN3/LDHA/PFKM/ALDOA/GAPDH/GPD1/FBP2/ENO3/PGK1/PGM1/PYGM/PKM/PGAM2/PHKA1/GPI/GPD2/PRKAG3/PPP1R3A/FOXO1/AGL/PPP1R3C/TPI1/PFKFB3/PHKG1/SLC37A4/RORA/PHKB/MLEC/IRS1/CHST15/ST3GAL2/IMPA2/BPGM/SLC25A12/PGM2L1/EGF/PFKFB1/STK40/HK1/ST3GAL5/PPP1R3D,41,3.2153913872789963
BP,GO:0034765,regulation of ion transmembrane transport,33/317,178/6414,2.155970883500038e-11,1.2944449184534228e-8,1.1428915125585466e-8,ATP2A1/DHRS7C/JPH1/HOMER1/KCNQ5/CALM1/AHCYL1/KCNJ12/PPP3CA/SLN/PPP3CB/CACNG6/GLRX/TMBIM6/SCN4A/KCNS3/CASQ1/JSRP1/CALM2/CD63/BIN1/CACNB1/STIM1/CACNA1S/ANK3/NEDD4/FGF13/HSPA2/CAPN3/NOS1/CACNG1/ANK2/NEDD4L,33,3.751143090064864
BP,GO:0043269,regulation of ion transport,38/317,234/6414,3.9038783759030685e-11,1.953240480743502e-8,1.724555394828759e-8,ATP2A1/DHRS7C/JPH1/HOMER1/KCNQ5/CALM1/AHCYL1/KCNJ12/PPP3CA/SLN/PPP3CB/NKAIN1/CACNG6/GDNF/GLRX/TMBIM6/SCN4A/KCNS3/CASQ1/JSRP1/CALM2/CD63/BIN1/CACNB1/SLC12A2/STIM1/HES1/CACNA1S/EGF/ANK3/NEDD4/FGF13/HSPA2/CAPN3/NOS1/CACNG1/ANK2/NEDD4L,38,3.2857720617972985
BP,GO:0006165,nucleoside diphosphate phosphorylation,18/317,59/6414,1.9589479469063126e-10,5.88076173661275e-8,5.1922430845369426e-8,ACTN3/LDHA/AK1/PFKM/ALDOA/GAPDH/GPD1/ENO3/PGK1/PGM1/PKM/PGAM2/GPI/PRKAG3/TPI1/BPGM/PFKFB1/HK1,18,6.17291343634711
BP,GO:0046031,ADP metabolic process,18/317,59/6414,1.9589479469063126e-10,5.88076173661275e-8,5.1922430845369426e-8,ACTN3/LDHA/AK1/PFKM/ALDOA/GAPDH/GPD1/ENO3/PGK1/PGM1/PKM/PGAM2/GPI/PRKAG3/TPI1/BPGM/PFKFB1/HK1,18,6.17291343634711
BP,GO:0046939,nucleotide phosphorylation,18/317,60/6414,2.67452657899431e-10,6.690773991784098e-8,5.907419233252344e-8,ACTN3/LDHA/AK1/PFKM/ALDOA/GAPDH/GPD1/ENO3/PGK1/PGM1/PKM/PGAM2/GPI/PRKAG3/TPI1/BPGM/PFKFB1/HK1,18,6.070031545741325
BP,GO:0044057,regulation of system process,35/317,217/6414,2.9880251712633014e-10,6.900039664717255e-8,6.092184114365176e-8,ATP2A1/ACTN3/TNNI2/TNNC2/TPM1/TNNT3/IRX3/HOMER1/ATP2B2/PRKAG3/FOXO1/CALM1/KCNJ12/IGFBP5/SMTNL2/SGK1/PPP3CA/SLN/CD38/LPIN1/SCN4A/CASQ1/CELF2/CALM2/BIN1/CACNB1/SLC25A12/CACNA1S/PBX3/FGF13/NOS1/SREBF1/NR4A1/CACNG1/ANK2,35,3.2634578202910345
BP,GO:0030001,metal ion transport,42/317,299/6414,3.9815000857133553e-10,7.470289535819683e-8,6.595669220938308e-8,ATP2A1/DHRS7C/JPH1/HOMER1/ATP2B2/KCNQ5/CALM1/AHCYL1/KCNJ12/SGK1/PPP3CA/SLN/PPP3CB/NKAIN1/CACNG6/SLC24A3/GLRX/TMBIM6/SCN4A/KCNS3/CASQ1/JSRP1/CALM2/KCNN3/CD63/BIN1/CACNB1/SLC12A2/STIM1/HES1/CACNA1S/EGF/ANK3/NEDD4/FGF13/HSPA2/CAPN3/NOS1/SLC25A37/CACNG1/ANK2/NEDD4L,42,2.842155238808647
BP,GO:0034220,ion transmembrane transport,48/317,374/6414,4.700983030246559e-10,8.301382974588336e-8,7.329458371616618e-8,ATP2A1/UCP3/SLC16A3/DHRS7C/JPH1/HOMER1/ATP2B2/SLC22A3/KCNQ5/CALM1/AHCYL1/KCNJ12/SLC7A2/PPP3CA/SLC37A4/SLN/PPP3CB/CACNG6/PCYOX1/PLP2/SLC24A3/GLRX/TMBIM6/SCN4A/UCP2/KCNS3/CASQ1/JSRP1/CALM2/KCNN3/CD63/BIN1/CACNB1/SLC12A2/STIM1/SLC25A12/CACNA1S/ANK3/NEDD4/FGF13/HSPA2/CAPN3/NOS1/CHRND/SLC25A37/CACNG1/ANK2/NEDD4L,48,2.5968049393545773
BP,GO:0006734,NADH metabolic process,11/317,23/6414,2.874415779165466e-9,3.451598467621892e-7,3.047485866079429e-7,ACTN3/PFKM/GPD1/ENO3/PGK1/PKM/PGAM2/GPD2/TPI1/SLC25A12/HK1,11,9.676861884515155
BP,GO:0032409,regulation of transporter activity,23/317,119/6414,1.1874810481806134e-8,1.114005658324438e-6,9.83578052407495e-7,ATP2A1/JPH1/HOMER1/CALM1/AHCYL1/SGK1/PPP3CA/SLN/PPP3CB/GLRX/CASQ1/JSRP1/CALM2/CACNB1/STIM1/RXRA/ANK3/NEDD4/FGF13/HSPA2/NOS1/ANK2/NEDD4L,23,3.910664581289929
BP,GO:0006090,pyruvate metabolic process,17/317,68/6414,1.8447716139863595e-8,1.5383345514408474e-6,1.3582265859700742e-6,ACTN3/LDHA/PFKM/ALDOA/GAPDH/GPD1/ENO3/PGK1/PGM1/PKM/PGAM2/GPI/PRKAG3/TPI1/BPGM/PFKFB1/HK1,17,5.058359621451104
BP,GO:0006735,NADH regeneration,7/317,11/6414,1.8767077142306628e-7,1.0629955770038584e-5,9.385402233232989e-6,PFKM/ENO3/PGK1/PKM/PGAM2/TPI1/HK1,7,12.875824490966448
BP,GO:0061061,muscle structure development,42/317,368/6414,2.023787998923182e-7,1.1046202859577076e-5,9.75291517949966e-6,ACTN3/TPM1/TNNT3/IRX3/LMOD1/PDLIM7/ANKRD1/JPH1/HOMER1/TMOD1/MYOM2/IGFBP5/SOX6/UNC45B/MYF6/CNTFR/PPP3CA/RORA/PPP3CB/ASB2/CHD2/EGR1/CASQ1/PITX1/BIN1/RXRG/HES1/CACNA1S/FZD7/MYOZ1/DYRK1B/YBX3/FHL3/CAPN3/NOS1/MYOD1/LGALS1/CHRND/NR4A1/ZBTB18/PDLIM3/ANK2,42,2.309251131532026
BP,GO:0050879,multicellular organismal movement,12/317,41/6414,3.7361222624579276e-7,1.933765350327362e-5,1.7073604095951113e-5,ATP2A1/ACTN3/TNNI2/TNNC2/TNNT3/HOMER1/SCN4A/CASQ1/JSRP1/RCSD1/CHRND/NR4A1,12,5.921981995845195
BP,GO:0050881,musculoskeletal movement,12/317,41/6414,3.7361222624579276e-7,1.933765350327362e-5,1.7073604095951113e-5,ATP2A1/ACTN3/TNNI2/TNNC2/TNNT3/HOMER1/SCN4A/CASQ1/JSRP1/RCSD1/CHRND/NR4A1,12,5.921981995845195
BP,GO:0044283,small molecule biosynthetic process,29/317,211/6414,4.0403641072467243e-7,2.055792042365198e-5,1.8151002358692688e-5,GGT7/GPD1/FBP2/PGK1/PGM1/PGAM2/GPI/PRKAG3/FOXO1/APIP/TPI1/SLC37A4/CARNS1/EGR1/OSBP/GLUL/CHST15/IMPA2/QDPR/SLC25A12/FDFT1/ABCG1/GAMT/OSBPL6/PFKFB1/GATM/SREBF1/ADK/MID1IP1,29,2.780899128380702
BP,GO:0032411,positive regulation of transporter activity,13/317,50/6414,5.557144815393012e-7,2.7804247893016366e-5,2.4548930956420358e-5,ATP2A1/CALM1/SGK1/PPP3CA/PPP3CB/GLRX/CASQ1/CALM2/STIM1/RXRA/ANK3/HSPA2/ANK2,13,5.260694006309149
BP,GO:0060538,skeletal muscle organ development,19/317,105/6414,6.75454985886732e-7,3.3241243731671634e-5,2.934936418399985e-5,ACTN3/ANKRD1/HOMER1/MYF6/CNTFR/PPP3CA/PPP3CB/ASB2/EGR1/CASQ1/PITX1/RXRG/CACNA1S/MYOZ1/YBX3/MYOD1/CHRND/NR4A1/ZBTB18,19,3.6612888688598466
BP,GO:0055001,muscle cell development,20/317,120/6414,1.3405393764317793e-6,6.191229550843387e-5,5.466361376283758e-5,ACTN3/TPM1/TNNT3/LMOD1/ANKRD1/HOMER1/TMOD1/MYOM2/MYF6/PPP3CA/PPP3CB/ASB2/CASQ1/BIN1/HES1/CACNA1S/MYOZ1/CAPN3/MYOD1/ANK2,20,3.3722397476340693
BP,GO:0046034,ATP metabolic process,20/317,124/6414,2.2815578445395522e-6,9.784623784725337e-5,8.639041582782846e-5,ACTN3/LDHA/AK1/PFKM/ALDOA/GAPDH/GPD1/ENO3/PGK1/PGM1/PKM/PGAM2/GPI/PRKAG3/TPI1/NMNAT1/BPGM/SLC25A12/PFKFB1/HK1,20,3.2634578202910345
BP,GO:0006091,generation of precursor metabolites and energy,33/317,283/6414,2.857809989307107e-6,1.1915479983194355e-4,1.0520417475256281e-4,ACTN3/LDHA/PFKM/ALDOA/GAPDH/GPD1/ENO3/PGK1/PGM1/PYGM/PKM/PGAM2/PHKA1/GPI/GPD2/PRKAG3/PPP1R3A/AGL/ASPH/PPP1R3C/TPI1/PHKG1/ADSL/PHKB/ALDH1L1/IRS1/QDPR/BPGM/SLC25A12/PFKFB1/STK40/HK1/PPP1R3D,33,2.359376219192741
